Fabricante,Edad,Primera Dosis,Primera Dosis (std),Segunda Dosis,Segunda Dosis (std),Cuarta Dosis,Cuarta Dosis (std),Dosis Refuerzo,Dosis Refuerzo (std),Dosis Única,Unica Dosis
Campaña SARS-CoV-2 (AstraZeneca),25,19277.0,19277.0,65.0,65.0,2.0,2.0,10.0,10.0,0.0,0.0
CanSino,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25091.0,25091.0
Campaña SARS-CoV-2 (Janssen),25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),25,0.0,0.0,0.0,0.0,83042.0,83042.0,10201.0,10201.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),25,86947.0,86947.0,102572.0,102572.0,110700.0,110700.0,249504.0,249504.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),25,165822.0,165822.0,162158.0,162158.0,125.0,125.0,336.0,336.0,0.0,0.0
,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),26,20550.0,20550.0,80.0,80.0,0.0,0.0,6.0,6.0,0.0,0.0
CanSino,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18529.0,18529.0
Campaña SARS-CoV-2 (Janssen),26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),26,0.0,0.0,0.0,0.0,87995.0,87995.0,10222.0,10222.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),26,81130.0,81130.0,98080.0,98080.0,116930.0,116930.0,262428.0,262428.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),26,191224.0,191224.0,187457.0,187457.0,135.0,135.0,305.0,305.0,0.0,0.0
,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),27,18584.0,18584.0,97.0,97.0,0.0,0.0,9.0,9.0,0.0,0.0
CanSino,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17288.0,17288.0
Campaña SARS-CoV-2 (Janssen),27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Campaña SARS-CoV-2 (Moderna),27,0.0,0.0,0.0,0.0,88897.0,88897.0,10466.0,10466.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),27,83388.0,83388.0,98305.0,98305.0,119184.0,119184.0,265628.0,265628.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),27,195078.0,195078.0,191492.0,191492.0,148.0,148.0,364.0,364.0,0.0,0.0
,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),28,16808.0,16808.0,71.0,71.0,0.0,0.0,9.0,9.0,0.0,0.0
CanSino,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16809.0,16809.0
Campaña SARS-CoV-2 (Janssen),28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),28,0.0,0.0,0.0,0.0,91753.0,91753.0,10214.0,10214.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),28,94005.0,94005.0,107305.0,107305.0,121663.0,121663.0,271204.0,271204.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),28,191679.0,191679.0,188189.0,188189.0,154.0,154.0,344.0,344.0,0.0,0.0
,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),29,15458.0,15458.0,87.0,87.0,1.0,1.0,12.0,12.0,0.0,0.0
CanSino,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16583.0,16583.0
Campaña SARS-CoV-2 (Janssen),29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Campaña SARS-CoV-2 (Moderna),29,0.0,0.0,0.0,0.0,94676.0,94676.0,10113.0,10113.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),29,91839.0,91839.0,103810.0,103810.0,125119.0,125119.0,276926.0,276926.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),29,200816.0,200816.0,197249.0,197249.0,183.0,183.0,403.0,403.0,0.0,0.0
,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),30,13942.0,13942.0,69.0,69.0,0.0,0.0,12.0,12.0,0.0,0.0
CanSino,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15687.0,15687.0
Campaña SARS-CoV-2 (Janssen),30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),30,0.0,0.0,0.0,0.0,98797.0,98797.0,9954.0,9954.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),30,99660.0,99660.0,110276.0,110276.0,128930.0,128930.0,285489.0,285489.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),30,203522.0,203522.0,200127.0,200127.0,181.0,181.0,470.0,470.0,0.0,0.0
,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),31,13258.0,13258.0,91.0,91.0,2.0,2.0,9.0,9.0,0.0,0.0
CanSino,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14892.0,14892.0
Campaña SARS-CoV-2 (Janssen),31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Campaña SARS-CoV-2 (Moderna),31,0.0,0.0,0.0,0.0,100858.0,100858.0,9646.0,9646.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),31,103803.0,103803.0,113843.0,113843.0,129829.0,129829.0,287659.0,287659.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),31,201698.0,201698.0,198410.0,198410.0,198.0,198.0,422.0,422.0,0.0,0.0
,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),32,9423.0,9423.0,95.0,95.0,1.0,1.0,10.0,10.0,0.0,0.0
CanSino,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14170.0,14170.0
Campaña SARS-CoV-2 (Janssen),32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Campaña SARS-CoV-2 (Moderna),32,0.0,0.0,0.0,0.0,100531.0,100531.0,9036.0,9036.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),32,98930.0,98930.0,105328.0,105328.0,126100.0,126100.0,280856.0,280856.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),32,201876.0,201876.0,198733.0,198733.0,202.0,202.0,476.0,476.0,0.0,0.0
,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),33,8242.0,8242.0,98.0,98.0,0.0,0.0,7.0,7.0,0.0,0.0
CanSino,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13215.0,13215.0
Campaña SARS-CoV-2 (Janssen),33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),33,0.0,0.0,0.0,0.0,97538.0,97538.0,8196.0,8196.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),33,90832.0,90832.0,96272.0,96272.0,119334.0,119334.0,267883.0,267883.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),33,195923.0,195923.0,192997.0,192997.0,190.0,190.0,462.0,462.0,0.0,0.0
,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),34,7717.0,7717.0,89.0,89.0,0.0,0.0,11.0,11.0,0.0,0.0
CanSino,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12342.0,12342.0
Campaña SARS-CoV-2 (Janssen),34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),34,0.0,0.0,0.0,0.0,94186.0,94186.0,7651.0,7651.0,0.0,0.0
